mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.027040576934814452,0.002258383615084549,1.8626363754272461,0.05108677119870138,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.5965074450654753,0.6110196697227738,0.5952154238194993,0.6096178203395876,0.6201391420815539,0.6064989155517357,0.009416467166328563,19,0.9993284372955548,0.9994127427701375,0.9995304729326051,0.9992441586573335,0.9994128259129076,0.9993857275137076,9.56444392550398e-05
0.02514019012451172,0.0016445719046988077,2.3543882369995117,0.13640207811936106,manhattan,6,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.60185004701802,0.6027257090864023,0.5992856991714353,0.612511449066391,0.6060012839074356,0.6044746646817332,0.004556188005823001,20,0.6594998351525763,0.6552749592550339,0.6584160547881676,0.651349457875159,0.6554983471122259,0.6560077308366326,0.0028457248553595206
0.025786209106445312,0.0007114068328621096,2.467138576507568,0.08197603933282617,manhattan,11,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.6287139073107859,0.6381218392263907,0.6320602576077724,0.6342540952139124,0.6259585811259555,0.6318218509022211,0.004235436203230531,2,0.668130467066861,0.6632973411658862,0.6662217858008307,0.6585435479013112,0.665622119426809,0.6643630522723397,0.0032935065189009694
0.02514028549194336,0.0009019242433689743,2.5369405269622805,0.07548708607744133,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.6100350104185083,0.6234095999854902,0.6110400739995103,0.6159945346766904,0.6204516721810137,0.6161857442246691,0.005190998616489716,13,0.6369538870039885,0.6373632594435958,0.6424270500121793,0.6322486149246761,0.6382509357946802,0.637448749435824,0.0032471703337558
0.02715606689453125,0.0014166579136731736,2.7960277557373048,0.1276111698760531,manhattan,21,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 21, 'KNN__weights': 'uniform'}",0.622886140840502,0.6292089488623481,0.6162990873998301,0.6295301272924583,0.6237628018834004,0.6243373847281642,0.00485278395666953,6,0.6405545544187362,0.6408275952509292,0.644465388773057,0.6377171506589101,0.6414971241339624,0.641012362647119,0.0021568742447088864
0.025838088989257813,0.001593652042848328,2.5976254463195803,0.07090400124199864,manhattan,26,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 26, 'KNN__weights': 'uniform'}",0.608611500199707,0.6230672615646906,0.6102858714742165,0.6180757709038036,0.61680922779473,0.6153695848154463,0.005294812075060837,16,0.6306193790776432,0.6299943259935208,0.6338543447437399,0.6240235258137377,0.6256072857539938,0.6288197722765271,0.003557783882970481
0.026928234100341796,0.0018946352051662065,2.7130339622497557,0.15317601063406802,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.6144060241491804,0.6318199405706546,0.6109652583181435,0.6318040705776375,0.6230816400732422,0.6224150252537749,0.008629084677741145,10,0.6342960687448403,0.6334196493648862,0.6376676902910494,0.6282234999545157,0.6305935937626532,0.632840100423589,0.0032286572046263955
0.025701045989990234,0.0004757005257647652,2.72251672744751,0.17782017966912822,manhattan,36,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 36, 'KNN__weights': 'uniform'}",0.6080069648117845,0.6213124937653599,0.6092104905188127,0.6266145828610121,0.6147842748066196,0.6159854789648014,0.007104476694201387,14,0.6272253693571255,0.6240423352404838,0.6286261508097792,0.6216382716232705,0.6209674021916506,0.6244999058444619,0.0030110115311406983
0.026948213577270508,0.0012036442519932028,2.829158878326416,0.16507170579046956,manhattan,41,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 41, 'KNN__weights': 'uniform'}",0.6125868775652776,0.6255603618962978,0.6137258813891835,0.6271602083352226,0.6176879429190689,0.6193440418766204,0.005995159617648904,12,0.6312190533134333,0.6253993696377681,0.6309703061272388,0.6239343601553449,0.6247766857182007,0.6272599549903972,0.003166359115126058
0.02476844787597656,0.0010329688106526548,2.882547378540039,0.2133566805648233,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.6121746199397706,0.6205635812377385,0.6089429677793798,0.6212966237723427,0.6147780973258316,0.6155510695327882,0.004770824339499147,15,0.6222981116686654,0.6188838046836055,0.6238486745164674,0.6180729286431761,0.618193369670668,0.6202593778365164,0.0023656135614456017
0.02479214668273926,0.0012657727501518752,1.6135409832000733,0.09153112400675444,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.6017338241138225,0.6053593722133047,0.6034549730512404,0.6077081311798509,0.6148606738547328,0.6066228479305177,0.004573069287396436,18,0.9993284372955548,0.9994127427701375,0.9995304729326051,0.9992441586573335,0.9994128259129076,0.9993857275137076,9.56444392550398e-05
0.024697351455688476,0.0010438642767391863,2.1384909629821776,0.12494704106189848,euclidean,6,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 6, 'KNN__weights': 'uniform'}",0.6062906937562991,0.613474228642768,0.6031806488862287,0.6195093602730244,0.6052563301528132,0.6095422954407101,0.00606982396179231,17,0.6594210570442637,0.6567664389311452,0.659929131055976,0.6561401692653148,0.656118959305384,0.6576751511204166,0.0016572430810490714
0.02610645294189453,0.00039918096248023447,2.30155291557312,0.13029714880844462,euclidean,11,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 11, 'KNN__weights': 'uniform'}",0.6314050404727691,0.6431616955802825,0.6343553608836412,0.6461686814000658,0.6353013274271574,0.6380782588074935,0.005610830560108492,1,0.6652247871313941,0.6629309155816393,0.666599360044882,0.6626041952879245,0.66595917679539,0.664663686968246,0.0016114564967437469
0.024564266204833984,0.0008208560899838182,2.3044411659240724,0.03487557612894801,euclidean,16,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.6178520395545704,0.6257689389473812,0.6172943626761946,0.6285031120300592,0.6273290993636438,0.6233491156368778,0.004798757512898621,7,0.6436782855439582,0.639980493939483,0.6463246876158907,0.6396231227046536,0.6412991639339989,0.6421811507475969,0.002512950814175597
0.025946521759033205,0.0013891654922434406,2.398412561416626,0.05845929470783062,euclidean,21,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 21, 'KNN__weights': 'uniform'}",0.6258668868731834,0.6367471955455196,0.6260523316798312,0.6355274732250547,0.6307801679165349,0.6309946063279813,0.004569687135536491,3,0.6483935076823183,0.6453765791316836,0.6510332012600315,0.6447572773782307,0.6447138809575715,0.6468548892819672,0.002489776327793106
0.025855350494384765,0.0009390942345388357,2.5495911598205567,0.13396240190986175,euclidean,26,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 26, 'KNN__weights': 'uniform'}",0.6215433444695779,0.6291877888716586,0.6123187420083249,0.6283852206533601,0.6233553402934631,0.6229580117594509,0.006060005241459951,8,0.6374253115817882,0.6341260303396918,0.6386415761143807,0.6361755098870268,0.6337341072963962,0.6360205070438567,0.001880647257273497
0.025272417068481445,0.0010105119893658403,2.5883914947509767,0.16033559587385673,euclidean,31,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.6286751243698402,0.6335747083699854,0.6252391834661878,0.6330343728934473,0.6307616354741707,0.6302569179767636,0.003054731657193308,4,0.6421657064949886,0.6356530424322558,0.642911213632241,0.6383071950537238,0.6390588108275987,0.6396191936881617,0.0026490695702247125
0.025058889389038087,0.0010682057295508406,2.571175765991211,0.12706845872122896,euclidean,36,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 36, 'KNN__weights': 'uniform'}",0.6194512062753821,0.6273740753839783,0.6148760780259542,0.625357074842887,0.6260943596322558,0.6226302820340349,0.004736509601262987,9,0.6338306598066958,0.6269967379619786,0.6366736014584967,0.6301914746103997,0.6307754961150714,0.6316935939905285,0.003302340006045795
0.025617170333862304,0.0010207732956272746,2.776271104812622,0.14757155531727228,euclidean,41,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 41, 'KNN__weights': 'uniform'}",0.6209388090816553,0.6324940374169093,0.6149456037096487,0.6346395093300445,0.6259729532241155,0.6257979727964688,0.007272289423662197,5,0.6371820876171932,0.6305558137576068,0.6403141821455756,0.6324701472982035,0.6328526810245234,0.6346749823686204,0.003556284037425296
0.02559976577758789,0.0009921628038522708,2.7491111755371094,0.15231492581187303,euclidean,46,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.6150050191169679,0.6264914014866404,0.6134583586497507,0.6313332607847938,0.6172105119038793,0.6206996184928736,0.006980852230268386,11,0.6286784612888234,0.6266609633188464,0.63487003016799,0.6264735697792965,0.6270424558783875,0.6287450960866687,0.003159800073886526
